OBS,HOUSEHOLDID,LASTPURCHASE,PRIVATE,SUNSHINE,KEEBLER,NABISCO,PRICEPRIVATE,PRICESUNSHINE,PRICEKEEBLER,PRICENABISCO,DISPLPRIVATE,DISPLSUNSHINE,DISPLKEEBLER,DISPLNABISCO,FEATPRIVATE,FEATSUNSHINE,FEATKEEBLER,FEATNABISCO,FEATDISPLPRIVATE,FEATDISPLSUNSHIN,FEATDISPLKEEBLER,FEATDISPLNABISCO
52,4,0,1,0,0,0,0.549999952,0.789999962,1.049999952,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
53,4,0,1,0,0,0,0.549999952,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
54,4,0,1,0,0,0,0.549999952,0.99000001,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
55,4,0,1,0,0,0,0.549999952,1.089999914,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
56,4,0,1,0,0,0,0.549999952,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
57,4,0,1,0,0,0,0.549999952,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
58,4,0,1,0,0,0,0.549999952,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
59,4,0,1,0,0,0,0.549999952,0.980000019,1.209999919,1.190000057,0,0,0,1,0,0,0,0,0,0,0,0
60,4,0,1,0,0,0,0.549999952,0.980000019,1.209999919,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
61,4,0,1,0,0,0,0.549999952,0.980000019,1.209999919,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
62,4,0,1,0,0,0,0.549999952,0.980000019,1.190000057,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
63,4,0,1,0,0,0,0.549999952,0.980000019,1.190000057,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
64,4,0,1,0,0,0,0.549999952,0.980000019,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
65,4,0,1,0,0,0,0.549999952,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
66,4,0,1,0,0,0,0.589999914,1.089999914,1.089999914,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
67,4,0,1,0,0,0,0.589999914,1.089999914,1.209999919,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
68,4,0,1,0,0,0,0.589999914,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
69,4,0,1,0,0,0,0.589999914,0.889999986,1.209999919,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
70,4,0,1,0,0,0,0.589999914,1.089999914,1.089999914,1.289999962,0,0,1,1,0,0,0,0,0,0,0,0
71,4,0,1,0,0,0,0.889999986,1.190000057,1.289999962,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
72,4,0,1,0,0,0,0.589999914,0.949999988,1.25,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
73,4,0,1,0,0,0,0.589999914,0.949999988,1.190000057,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
74,4,0,1,0,0,0,0.589999914,0.949999988,1.039999962,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
75,4,1,1,0,0,0,0.589999914,0.949999988,1.039999962,1.2299999,0,0,0,0,0,0,0,0,0,0,0,0
76,5,0,0,0,1,0,0.680000007,0.689999998,0.889999986,1.059999824,0,0,0,0,0,0,0,0,0,0,0,0
77,5,0,0,0,0,1,0.680000007,0.889999986,1.079999924,0.889999986,0,1,0,0,0,0,0,0,0,0,0,0
78,5,0,0,0,0,1,0.779999912,0.980000019,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
79,5,0,0,0,1,0,0.709999979,0.99000001,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
80,5,0,0,0,0,1,0.839999914,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
81,5,0,0,0,1,0,0.680000007,1.089999914,0.99000001,1.25999999,0,0,0,0,0,0,1,0,0,0,0,0
82,5,0,0,0,1,0,0.649999976,0.879999995,1.25,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
83,5,0,0,0,1,0,0.609999955,0.970000029,0.99000001,1.25,0,0,1,0,0,0,0,0,0,0,0,0
84,5,0,0,0,1,0,0.680000007,1.039999962,1.089999914,1.089999914,0,0,0,0,0,0,1,1,0,0,0,0
85,5,0,0,0,1,0,0.649999976,0.970000029,1.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0
86,5,0,0,0,0,1,0.839999914,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
87,5,0,0,0,1,0,0.649999976,1.049999952,1.25,1.289999962,1,0,0,1,0,0,0,0,0,0,0,0
88,5,0,0,0,1,0,0.609999955,1.049999952,1.25,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
89,5,1,0,0,1,0,0.649999976,1.049999952,0.99000001,0.99000001,0,0,0,0,0,0,0,1,0,0,0,0
90,6,0,1,0,0,0,0.670000017,0.689999998,0.879999995,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
91,6,0,0,0,0,1,0.680000007,0.849999964,0.980000019,0.889999986,0,1,0,0,0,0,0,0,0,0,0,0
92,6,0,1,0,0,0,0.549999952,0.99000001,1.089999914,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
93,6,0,1,0,0,0,0.549999952,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
94,6,0,0,0,0,1,0.779999912,1.029999971,1.089999914,0.769999921,0,0,0,0,0,0,0,0,0,0,0,0
95,6,0,1,0,0,0,0.549999952,0.789999962,1.049999952,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
96,6,0,1,0,0,0,0.549999952,0.980000019,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
97,6,0,0,0,0,1,0.649999976,0.889999986,1.019999981,1.149999976,0,0,0,0,0,0,0,0,0,0,0,0
98,6,0,1,0,0,0,0.549999952,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
99,6,0,1,0,0,0,0.549999952,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
100,6,0,1,0,0,0,0.549999952,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
101,6,0,0,0,0,1,0.599999964,0.889999986,1.149999976,0.99000001,0,1,0,0,0,0,0,0,0,0,0,0
102,6,0,0,0,0,1,0.709999979,1.089999914,1.190000057,0.74000001,0,0,0,0,0,0,0,0,0,0,0,0
103,6,0,1,0,0,0,0.549999952,1.089999914,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
104,6,0,1,0,0,0,0.549999952,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
105,6,0,1,0,0,0,0.549999952,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
106,6,0,1,0,0,0,0.549999952,0.980000019,1.089999914,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
107,6,0,1,0,0,0,0.549999952,0.980000019,1.209999919,1.190000057,0,0,0,1,0,0,0,0,0,0,0,0
108,6,0,1,0,0,0,0.549999952,0.980000019,1.190000057,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
109,6,0,1,0,0,0,0.549999952,0.980000019,1.190000057,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
110,6,0,1,0,0,0,0.549999952,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
111,6,0,1,0,0,0,0.549999952,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
112,6,0,1,0,0,0,0.589999914,1.089999914,1.209999919,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
113,6,0,1,0,0,0,0.589999914,0.889999986,1.209999919,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
114,6,0,1,0,0,0,0.589999914,1.089999914,1.089999914,1.289999962,0,0,1,1,0,0,0,0,0,0,0,0
115,6,0,1,0,0,0,0.589999914,0.949999988,1.190000057,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
116,6,0,1,0,0,0,0.589999914,1.089999914,1.219999909,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
117,6,1,1,0,0,0,0.589999914,1.289999962,1.039999962,1.2299999,0,0,0,0,0,0,0,0,0,0,0,0
118,7,0,0,0,0,1,0.689999998,0.789999962,0.99000001,0.689999998,0,0,0,0,0,0,0,0,0,0,0,0
119,7,0,0,0,1,0,0.609999955,0.889999986,0.889999986,0.99000001,0,0,0,1,0,0,0,0,0,0,1,0
120,7,0,0,0,0,1,0.680000007,0.959999979,1.190000057,0.49000001,0,0,0,0,0,0,0,0,0,0,0,0
121,7,0,0,1,0,0,0.49000001,0.789999962,1.25,1.059999824,0,1,0,1,1,0,0,0,0,0,0,0
122,7,0,0,0,1,0,0.579999924,0.930000007,0.99000001,0.980000019,0,0,0,0,0,0,0,0,0,0,0,1
123,7,0,0,0,0,1,0.609999955,0.970000029,1.149999976,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
124,7,0,0,0,0,1,0.730000019,1.089999914,1.190000057,1.149999976,0,0,0,0,0,0,1,0,0,0,0,0
125,7,0,0,0,0,1,0.789999962,1.089999914,1.349999905,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
126,7,0,0,0,0,1,0.609999955,1.049999952,1.289999962,1.25,0,0,0,0,0,0,0,0,0,0,0,0
127,7,0,0,0,0,1,0.839999914,1.089999914,1.209999919,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
128,7,0,0,0,1,0,0.889999986,1.190000057,1.289999962,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
129,7,0,0,0,0,1,0.629999995,0.930000007,1.119999886,0.980000019,1,0,1,0,0,0,0,0,0,0,0,0
130,7,0,0,0,0,1,0.889999986,1.190000057,1.289999962,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
131,7,0,0,0,0,1,0.819999933,1.089999914,1.209999919,0.589999914,0,0,1,0,0,0,0,0,0,0,0,0
132,7,0,0,0,0,1,0.819999933,1.089999914,1.209999919,0.589999914,0,0,1,0,0,0,0,0,0,0,0,0
133,7,0,0,0,1,0,0.609999955,1.049999952,0.99000001,1.25,1,0,0,1,0,0,0,0,0,0,1,0
134,7,1,0,0,0,1,0.609999955,1.049999952,1.289999962,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
135,8,0,0,0,0,1,0.709999979,0.689999998,0.879999995,1.199999928,0,0,0,0,0,0,0,0,0,0,0,0
136,8,0,0,0,0,1,0.709999979,0.99000001,1.089999914,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
137,8,0,0,0,0,1,0.779999912,0.789999962,1.089999914,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
138,8,0,0,0,0,1,0.779999912,0.99000001,1.089999914,0.889999986,0,1,0,0,0,0,0,0,0,0,0,0
139,8,0,0,0,0,1,0.779999912,0.789999962,1.049999952,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
140,8,0,0,0,0,1,0.779999912,0.980000019,1.049999952,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
141,8,0,0,0,0,1,0.779999912,0.980000019,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
142,8,0,0,0,0,1,0.789999962,0.889999986,1.149999976,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
143,8,0,0,0,0,1,0.639999986,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
144,8,0,0,0,0,1,0.639999986,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
145,8,0,0,0,0,1,0.779999912,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
146,8,0,0,0,0,1,0.779999912,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
147,8,0,0,0,0,1,0.779999912,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
148,8,0,0,0,0,1,0.779999912,0.980000019,1.089999914,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
149,8,0,0,0,0,1,0.639999986,0.980000019,1.209999919,1.190000057,1,0,0,1,0,0,0,0,0,0,0,0
150,8,0,0,0,0,1,0.639999986,0.980000019,1.209999919,1.190000057,1,0,0,0,0,0,0,0,0,0,0,0
151,8,0,0,0,0,1,0.779999912,0.980000019,1.190000057,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
152,8,0,0,0,0,1,0.779999912,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
153,8,0,0,0,0,1,0.879999995,0.789999962,1.209999919,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
154,8,0,0,0,0,1,0.789999962,1.089999914,1.209999919,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
155,8,0,0,0,0,1,0.959999979,1.089999914,1.089999914,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
156,8,0,0,0,0,1,0.930000007,1.089999914,1.209999919,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
157,8,0,0,0,0,1,0.859999955,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
158,8,0,0,0,0,1,0.959999979,0.889999986,1.089999914,1.289999962,0,0,0,1,0,0,0,0,0,0,1,0
159,8,0,0,0,0,1,0.819999933,0.949999988,1.25,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
160,8,1,0,0,0,1,0.959999979,1.289999962,1.039999962,1.289999962,1,0,0,1,0,0,0,0,0,0,0,0
161,9,0,0,1,0,0,0.779999912,0.49000001,1.089999914,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
162,9,0,0,1,0,0,0.779999912,0.49000001,1.089999914,1.089999914,0,1,0,0,0,0,0,0,0,0,0,0
163,9,0,0,1,0,0,0.639999986,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
164,9,0,0,1,0,0,0.779999912,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
165,9,0,0,1,0,0,0.839999914,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
166,9,0,1,0,0,0,0.889999986,1.089999914,1.089999914,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
167,9,0,0,0,0,1,0.680000007,0.959999979,1.389999986,1.149999976,0,0,0,0,0,0,0,0,0,0,0,0
168,9,0,0,1,0,0,0.639999986,0.789999962,1.209999919,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
169,9,0,0,1,0,0,0.779999912,0.789999962,1.209999919,1.089999914,0,0,0,1,0,0,0,0,0,1,0,0
170,9,0,0,1,0,0,0.879999995,0.789999962,1.209999919,1.089999914,0,1,0,1,0,0,0,0,0,0,0,0
171,9,0,0,1,0,0,0.879999995,0.789999962,1.209999919,1.089999914,0,1,0,1,0,0,0,0,0,0,0,0
172,9,0,0,0,0,1,0.789999962,1.089999914,1.209999919,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
173,9,0,0,1,0,0,0.839999914,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
174,9,0,0,0,0,1,0.859999955,0.889999986,1.209999919,0.99000001,0,0,0,0,0,0,0,1,0,0,0,0
175,9,0,0,1,0,0,0.859999955,0.889999986,1.209999919,0.99000001,0,1,0,0,0,0,0,0,0,0,0,0
176,9,0,0,0,1,0,0.959999979,1.089999914,1.089999914,1.289999962,0,0,1,0,0,0,0,0,0,0,0,0
177,9,0,0,0,0,1,0.680000007,0.959999979,1.389999986,1.089999914,0,0,0,0,0,0,0,1,0,0,0,0
178,9,0,0,1,0,0,0.789999962,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
179,9,1,0,1,0,0,0.959999979,1.289999962,1.039999962,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
180,10,0,0,0,0,1,0.709999979,0.689999998,0.879999995,1.199999928,0,0,0,0,0,0,0,0,0,0,0,0
181,10,0,0,0,0,1,0.709999979,0.980000019,0.99000001,0.99000001,0,1,0,1,0,0,0,0,0,0,0,0
182,10,0,0,0,0,1,0.709999979,0.99000001,1.089999914,0.889999986,0,0,0,1,0,0,0,0,0,0,0,0
183,10,0,0,0,0,1,0.709999979,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
184,10,0,0,0,0,1,0.779999912,0.49000001,1.089999914,1.089999914,0,1,0,0,0,0,0,0,0,0,0,0
185,10,0,0,0,0,1,0.779999912,0.49000001,1.089999914,1.089999914,0,1,0,0,0,0,0,0,0,0,0,0
186,10,0,0,0,0,1,0.779999912,0.589999914,1.089999914,0.889999986,0,1,0,0,0,0,0,0,0,0,0,0
187,10,0,0,0,0,1,0.779999912,0.789999962,1.089999914,0.889999986,0,1,0,0,0,0,0,0,0,0,0,0
188,10,0,0,0,0,1,0.779999912,0.789999962,1.049999952,1.089999914,0,1,0,0,0,0,0,0,0,0,0,0
189,10,0,0,0,0,1,0.779999912,0.789999962,1.089999914,0.889999986,0,1,0,0,0,0,0,0,0,0,0,0
190,10,0,0,0,0,1,0.779999912,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0,0,0,0,0
191,10,0,0,0,0,1,0.639999986,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
192,10,0,0,0,0,1,0.639999986,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
193,10,0,0,0,0,1,0.709999979,0.99000001,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
194,10,0,0,0,0,1,0.839999914,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
195,10,0,0,0,0,1,0.779999912,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
196,10,0,0,0,0,1,0.779999912,0.889999986,1.190000057,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
197,10,0,1,0,0,0,0.689999998,1.089999914,1.209999919,1.190000057,1,0,0,0,0,0,0,1,0,0,0,0
198,10,0,0,0,0,1,0.569999933,0.970000029,1.149999976,1.089999914,0,0,0,0,0,0,0,1,1,0,0,0
199,10,0,0,0,0,1,0.639999986,0.789999962,1.209999919,1.190000057,0,0,0,0,0,0,0,0,0,0,0,0
200,10,0,0,0,0,1,0.779999912,0.789999962,1.190000057,1.289999962,1,1,0,0,0,0,0,0,0,0,0,0
201,10,0,1,0,0,0,0.889999986,1.089999914,1.190000057,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
202,10,0,0,0,0,1,0.779999912,1.089999914,1.209999919,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
203,10,0,0,0,0,1,0.779999912,0.789999962,1.209999919,0.839999914,0,0,0,1,0,0,0,0,0,1,0,0
204,10,0,0,0,0,1,0.599999964,0.970000029,1.25,1.089999914,0,0,0,0,0,0,0,1,0,0,0,0
205,10,0,0,0,0,1,0.779999912,0.789999962,1.209999919,1.089999914,0,1,0,0,0,0,0,0,0,0,0,0
206,10,0,0,0,0,1,0.879999995,0.789999962,1.209999919,1.089999914,0,1,0,0,0,0,0,0,0,0,0,0
207,10,0,0,0,0,1,0.879999995,0.789999962,1.209999919,1.089999914,0,1,0,1,0,0,0,0,0,0,0,0
208,10,0,0,0,0,1,0.789999962,1.089999914,1.209999919,1.089999914,0,0,0,1,0,0,0,0,0,0,0,0
209,10,0,0,0,0,1,0.789999962,1.089999914,1.209999919,1.289999962,0,0,0,1,0,0,0,0,0,0,0,0
210,10,0,0,0,0,1,0.649999976,0.970000029,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0
211,10,0,0,0,0,1,0.920000017,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0,0,0,0,0
212,10,0,0,0,0,1,0.649999976,1.049999952,1.25,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
213,10,0,0,0,0,1,0.649999976,1.049999952,1.25,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
214,10,0,0,0,0,1,0.859999955,1.089999914,1.209999919,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
215,10,0,0,0,0,1,0.819999933,0.949999988,1.25,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
216,10,0,0,0,0,1,0.589999914,1.049999952,1.289999962,1.289999962,0,0,0,0,0,0,0,0,0,0,0,0
217,10,0,0,0,0,1,0.589999914,1.049999952,1.289999962,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
218,10,0,0,0,0,1,0.589999914,1.049999952,1.289999962,0.99000001,0,0,0,1,0,0,0,0,0,0,0,0
219,10,0,0,0,0,1,0.720000029,0.949999988,1.039999962,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0
